"x","y"
0.06544649,-0.76866376
-1.52901547,-0.42953079
1.70993371,0.69885253
1.16779145,1.01262638
-1.80110088,-0.31861296
-1.63567888,-0.02859535
1.21990375,0.74643463
-0.26175155,-0.62492939
-1.61925804,-0.47983949
-1.84329582,-0.16694431
1.35999602,0.94995827
0.42291856,-0.7349534
-1.68576139,0.10686728
0.90629995,1.09105162
-1.56478322,-0.84675394
-0.0257849,-1.18672539
0.83027324,1.14504612
1.22450432,1.35066759
-0.15394596,-0.71704301
0.86358809,1.06824613
-1.43386366,-0.2381297
0.03844769,-0.74635022
-1.58567922,0.08499354
0.6359888,-0.58477698
0.24417242,-0.53172465
-2.19680359,0.49473677
1.0323503,-0.55688
-0.28858067,-0.39972528
0.20597008,-0.80171536
-1.2107308,-0.34924109
1.33423684,0.7721489
1.19480152,1.04788556
0.9917477,0.89202008
-1.8356219,-0.04839732
0.08415721,-0.71564326
-1.48970175,-0.19299604
0.38782418,-0.82060119
-0.01448044,-0.9779841
-2.0521341,-0.02129125
0.10331194,-0.82162781
-0.44189315,-0.65710974
1.10390926,1.02481182
-1.59227759,-0.17374038
-1.47344152,-0.02202853
-1.35514704,0.22971067
0.0412337,-1.23776622
0.4761517,-1.13672124
1.04335676,0.82345905
-0.07961882,-0.85677394
0.87065059,1.08052841
1.40267313,1.07525119
0.80111157,1.28342825
-0.16527516,-1.23583804
-0.33779221,-0.59194323
0.80610749,-0.73752159
-1.43590032,-0.56384446
0.54868895,-0.95143829
0.46803131,-0.74973907
-1.5137129,-0.83914323
0.9138436,1.51126532
-1.97233903,-0.41155375
0.5213406,-0.88654894
0.62759494,-1.18590477
0.94163014,1.35399335
0.56994768,1.07036606
-1.87663382,0.14745773
0.90612186,0.91084011
-1.37481454,0.28428395
-1.80564029,-0.96710574
0.34307757,-0.79999275
0.70380566,1.00025804
-1.68489862,-0.30564595
1.31473221,0.98614978
0.26151216,-0.26069251
0.9193121,0.82371485
-1.21795929,-0.20219674
-0.17722723,-1.02665245
0.64824862,-0.66822881
0.41206786,-0.28783784
1.01568202,1.13481667
0.67900254,-0.91489502
-1.05182747,-0.01062376
0.61306599,1.78210384
